OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
38234,LAURINBURG NC,1255,WM Supercenter,Retail,901 US HIGHWAY 401 S,LAURINBURG,SCOTLAND,NC,28352-5089,Open,660cffa5-ec14-4685-a88c-7ce2b51353a7,-8848160.0397,4131552.9044
38235,JOLIET IL,1256,WM Supercenter,Retail,2424 W JEFFERSON ST,JOLIET,WILL,IL,60435-6429,Open,30890e8f-642b-4754-8537-38de40780926,-9811951.7232,5089189.0203
38236,STAMFORD TX,1257,WM Supercenter,Retail,2614 N SWENSON STREET,STAMFORD,HASKELL,TX,79553-2953,Open,ca2003e4-401b-4979-98f0-0c10878dedc7,-11109609.8179,3891589.6135
38238,CORBIN KY,1259,WM Supercenter,Retail,60 S STEWART RD,CORBIN,LAUREL,KY,40701-4675,Open,8b391ef2-2a63-440a-9c35-bbd710501fb8,-9362250.4801,4435224.731
38239,LUCEDALE MS,1260,WM Supercenter,Retail,11228 OLD 63 S,LUCEDALE,GEORGE,MS,39452-4945,Open,2667b266-e519-4c0f-a3c4-eef688a174b7,-9862368.5432,3620002.3006
38240,FAYETTEVILLE (NE) NC,1261,WM Supercenter,Retail,4601 RAMSEY ST,FAYETTEVILLE,CUMBERLAND,NC,28311-2138,Open,263762a9-405f-4d01-be60-f3138ef4c0fb,-8781215.7262,4180698.632
38241,"EVANSVILLE, IN",1263,WM Supercenter,Retail,401 N BURKHARDT RD,EVANSVILLE,VANDERBURGH,IN,47715-2733,Open,9c4f276a-cf29-46b0-9aac-894e97e3454a,-9737386.8113,4576660.6084
38242,"BELLEFONTAINE, OH",1264,WM Supercenter,Retail,2281 US HIGHWAY 68 S,BELLEFONTAINE,LOGAN,OH,43311-8904,Open,1357814a-6362-42b3-8b9e-451d166f03d7,-9323781.581,4913765.4069
38243,ST LOUIS MO,1265,WM Supercenter,Retail,10741 WEST FLORISSANT AVE,SAINT LOUIS,ST. LOUIS,MO,63136-2403,Open,4ba5b73f-72dc-4df0-9035-42038aea8422,-10050325.0469,4688205.1512
38244,BATON ROUGE LA,1266,WM Supercenter,Retail,2171 ONEAL LN,BATON ROUGE,EAST BATON ROUGE,LA,70816-3206,Open,5156ae72-2d05-46a8-88a3-02c79f7bc43e,-10130597.7544,3559937.9914
38245,SUN PRAIRIE WI,1267,WM Supercenter,Retail,1905 MCCOY RD,SUN PRAIRIE,DANE,WI,53590-2529,Open,8c517d2b-34e3-4b47-8f27-c8ea254d2206,-9934884.5086,5338449.9204
38246,WHITEVILLE NC,1268,WM Supercenter,Retail,200 COLUMBUS CORNERS DR,WHITEVILLE,COLUMBUS,NC,28472-4905,Open,cc22329a-42ca-4002-ab1e-c3a8de50108f,-8763607.6544,4069586.8626
38247,NORTH AUGUSTA SC,1270,WM Supercenter,Retail,1201 KNOX AVE,NORTH AUGUSTA,AIKEN,SC,29841-4056,Open,f6094583-7ea0-479a-ab50-b04491989302,-9123369.7621,3962031.3592
38248,MERIDIAN MS,1271,WM Supercenter,Retail,2400 HIGHWAY 19 N,MERIDIAN,LAUDERDALE,MS,39307-9377,Open,fbf7353a-849c-4cb9-a0fa-2b0441e59217,-9879410.6667,3814247.0233
38249,SNYDER TX,1272,WM Supercenter,Retail,5110 COLLEGE AVE,SNYDER,SCURRY,TX,79549-6112,Open,dfa1a7bb-08c7-4378-814e-dee65008df9a,-11234068.4595,3854332.136
38250,FOUNTAIN CO,1273,WM Supercenter,Retail,6310 S US HIGHWAY 85-87,FOUNTAIN,EL PASO,CO,80817-1006,Open,9541e257-3c05-4772-877b-ecc20bdbc887,-11659248.2452,4684552.0262
38251,WHITEWATER WI,1274,WM Supercenter,Retail,1362 W MAIN ST,WHITEWATER,WALWORTH,WI,53190-1504,Open,8d3b1487-9a50-469e-a4f1-2246f05c6239,-9880335.7317,5287102.4078
38252,LEBANON IN,1275,WM Supercenter,Retail,2440 N LEBANON ST,LEBANON,BOONE,IN,46052-1100,Open,aef21bb0-8c55-4020-b4ae-b048bd7c0c9c,-9626896.9847,4876388.0982
38253,"SHEBOYGAN, WI",1276,WM Supercenter,Retail,3711 S TAYLOR DR,SHEBOYGAN,SHEBOYGAN,WI,53081-8495,Open,c840f276-9dc0-4bdb-a2af-e8f96e37e9bb,-9768782.5813,5421440.5681
38254,BLACK RIVER FALLS WI,1277,WM Supercenter,Retail,611 STATE HIGHWAY 54,BLACK RIVER FALLS,JACKSON,WI,54615-5453,Open,d766b847-de6b-437b-9964-98eb1095d55e,-10111654.1826,5510678.4736
38255,HOUSTON TX,1279,WM Supercenter,Retail,10411 N FREEWAY 45,HOUSTON,HARRIS,TX,77037-1124,Open,21722e78-6e43-4ee5-9085-b4c66ed391cc,-10621617.6755,3493014.4989
38256,GRAND JUNCTION CO,1280,WM Supercenter,Retail,2881 NORTH AVE,GRAND JUNCTION,MESA,CO,81501-5064,Open,8aab4c37-60dc-4d25-b877-06e4be6879fe,-12080266.6857,4732432.9987
38257,SPARTENBURG (EAST) SC,1281,WM Supercenter,Retail,2151 E MAIN ST,SPARTANBURG,SPARTANBURG,SC,29307-1441,Open,6fe0a283-b5fb-4418-b8f2-52dfba349b0c,-9114555.4849,4160194.7605
38258,CONCORDIA KS,1282,WM Supercenter,Retail,140 E COLLEGE DR,CONCORDIA,CLOUD,KS,66901-5206,Open,1031c4f1-2f3c-4868-8942-859130a0ba09,-10871517.3533,4800895.6192
38259,STARKE FL,1283,WM Supercenter,Retail,14500 US HIGHWAY 301 S,STARKE,BRADFORD,FL,32091-7858,Open,d4bfd3f1-38eb-4bb4-b12e-4eaf78226603,-9142693.0446,3493564.2112
38260,PHENIX CITY AL,1284,WM Supercenter,Retail,3700 US-280,PHENIX CITY,RUSSELL,AL,36867-2362,Open,0c288a82-d106-4682-a9b2-c5a306e1f20b,-9466989.4305,3829305.4571
38261,OTTUMWA IA,1285,WM Supercenter,Retail,1940 VENTURE DR,OTTUMWA,WAPELLO,IA,52501-3766,Open,1151fa0f-a5ec-40d4-8577-fb557ae0b0b3,-10292100.0716,5014185.8809
38262,COLUMBIA SC,1286,WM Supercenter,Retail,7520 GARNERS FERRY RD,COLUMBIA,RICHLAND,SC,29209-2628,Open,312624ab-3244-49e2-a487-8955761ac9ff,-9010043.6262,4023992.7519
38263,BURLINGTON NC,1287,WM Supercenter,Retail,3141 GARDEN RD,BURLINGTON,ALAMANCE,NC,27215-9786,Open,66337046-fa2f-471c-9096-84a373449824,-8849792.54,4310537.6716
38264,ROXBORO NC,1288,WM Supercenter,Retail,1049 DURHAM RD STE A,ROXBORO,PERSON,NC,27573-6123,Open,82f06ca1-995d-4d5c-8185-999657e2dd6f,-8792546.3806,4352589.9265
38265,WILMINGTON OH,1289,WM Supercenter,Retail,2825 PROGRESS WAY,WILMINGTON,CLINTON,OH,45177-7710,Open,046b7b03-ff0b-4748-b6e6-3940dd78d402,-9326249.5341,4786779.8981
38266,WILKESBORO NC,1290,WM Supercenter,Retail,1801 US HIGHWAY 421,WILKESBORO,WILKES,NC,28697-2279,Open,ac665fa6-8c1e-4e70-a625-58966b091f6c,-9038502.2314,4320989.1083
38267,TUCSON (E) AZ,1291,WM Supercenter,Retail,7150 E SPEEDWAY BLVD,TUCSON,PIMA,AZ,85710-1318,Open,8b509161-5fdd-4155-9c92-0f0d7cc58f0a,-12338591.0225,3794012.6793
38268,CHRISTIANSBURG VA,1292,WM Supercenter,Retail,2400 N FRANKLIN ST,CHRISTIANSBURG,MONTGOMERY,VA,24073-1088,Open,c6363cfa-113d-4962-91a5-b8eb3747440d,-8952955.0951,4461509.2159
